종목명,ROE,최종점수
크레오에스지,-18.11,-10.86
아이지넷,11.57,6.94
에이디테크놀로지,2.63,1.58
미래에셋생명,5.34,3.21
오리콤,5.96,3.58
종근당홀딩스,5.95,3.57
코오롱,-12.24,-7.34
NHN KCP,15.23,9.14
파커스,9.69,5.81
아미노로직스,6.29,3.77
한익스프레스,-17.02,-10.21
벡트,-28.20,-16.92
제이씨현시스템,7.69,4.61
MH에탄올,-18.94,-11.36
탑엔지니어링,-15.84,-9.50
삼성카드,7.29,4.37
GS리테일,1.53,0.92
지누스,-2.85,-1.71
에이스테크,-41.25,-24.75
아시아경제,3.36,2.01
제너셈,1.89,1.13
제노레이,0.75,0.45
엔투텍,14.85,8.91
신스틸,1.57,0.94
HS애드,8.20,4.92
동일기연,10.16,6.10
온코크로스,-66.77,-40.06
에이텀,-59.92,-35.95
오브젠,-29.34,-17.60
LS에코에너지,21.47,12.88
AP시스템,6.47,3.88
